"scenario_id","n","method","B_total","B_valid","truth","mean_estimate","bias","mcse_bias","empirical_sd","mcse_empirical_sd","rmse","mcse_rmse","median_absolute_error","mcse_median_absolute_error","coverage","mcse_coverage","mean_interval_length","mcse_mean_interval_length","lower_noncoverage","mcse_lower_noncoverage","upper_noncoverage","mcse_upper_noncoverage","mean_estimated_se_fisher","mcse_mean_estimated_se_fisher","empirical_sd_fisher","se_fisher_to_empirical_fisher_sd_ratio","projection_rate","negative_variance_rate"
"S2",250,"naive",5000,5000,0.554700196225229,0.246519089846231,-0.308181106378998,0.000864517727231757,0.0611306347381557,0.000637401672740771,0.314184343087896,0.000865733829715761,0.307862515761992,0.000972538470885441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.0016
"S2",250,"raw",5000,4992,0.554700196225229,0.57663039340045,0.0219301971752208,0.00250854928886673,0.177239259525342,0.00702819688382424,0.178573222644665,0.00713211697436203,0.0970728409161965,0.00158487300601586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.0016
"S2",250,"oracle_sample",5000,5000,0.554700196225229,0.552992490456862,-0.00170770576836686,0.000631677951722511,0.0446663763189016,0.000451931182392557,0.0446945457009953,0.000455746241542181,0.029610559764256,0.000480113922025598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.0016
"S2",500,"proposed",5000,5000,0.554700196225229,0.561132226864637,0.00643203063940816,0.00152850689379289,0.108081758969134,0.00123578634540467,0.10826218779742,0.00125536163866473,0.0702520480494773,0.00119413259136987,0.9556,0.00291302729132427,0.421148101613095,0.00182826766824273,0,0,0.0444,0.00291302729132427,0.776275327036044,0.21524999606905,0.228198880995334,3.40174905174893,0.0016,0
"S2",500,"naive",5000,5000,0.554700196225229,0.246419125387622,-0.308281070837607,0.000611328929652442,0.0432274831692755,0.000433013382443263,0.311296418570583,0.000608062780701139,0.308524478801917,0.000742836467336989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0
"S2",500,"raw",5000,5000,0.554700196225229,0.561262003027131,0.00656180680190228,0.00153697316964081,0.10868041507548,0.00136946002399494,0.108867477434539,0.00139365485558106,0.0702520480494774,0.00120819417944105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0
"S2",500,"oracle_sample",5000,5000,0.554700196225229,0.554099119438748,-0.000601076786481411,0.000436310999943974,0.0308518466766667,0.00031278735937692,0.0308546166622618,0.000313523394276437,0.0203882235545043,0.00036639776366136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0
"S3",50,"proposed",5000,5000,0.554700196225229,0.574383720285954,0.0196835240607249,0.00361112151403113,0.255344851026004,0.00260097042242583,0.256076929586311,0.00252103613216296,0.178245721772359,0.00320956178149269,0.9594,0.00279111590586991,1.08337797670587,0.00572690273365968,2e-04,0.0001999799989999,0.0404,0.00278452293939195,0.74244399514131,0.0144645556211791,0.529964873115142,1.4009305763554,0.0612,0.0014
"S3",50,"naive",5000,5000,0.554700196225229,0.295856787617054,-0.258843408608175,0.00192562263554208,0.136162082359812,0.00134076601083515,0.29246592080091,0.00189349244839474,0.252561315306773,0.00223560688270822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612,0.0014
"S3",50,"raw",5000,4993,0.554700196225229,0.586780175782969,0.0320799795577403,0.00401457370242674,0.283674447998046,0.00513677386763951,0.285454375922684,0.00520380866804116,0.178123062571503,0.00314649171901077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612,0.0014
"S3",50,"oracle_sample",5000,5000,0.554700196225229,0.550387710721957,-0.00431248550327211,0.00141394044817036,0.0999806879095204,0.00103624430070429,0.100063661028796,0.00105510284112488,0.0671090285078354,0.0010629044583131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612,0.0014
"S3",100,"proposed",5000,5000,0.554700196225229,0.568220042387335,0.0135198461621059,0.00249619661428473,0.176507755313563,0.0017117802900382,0.177007183268201,0.00170333757529625,0.120291237621191,0.00195637294453042,0.9682,0.00248148181536759,0.710875011974359,0.00333121149930738,0,0,0.0318,0.00248148181536758,0.400093151959778,0.0146419689244852,0.357123610519946,1.12032120020648,0.0078,0
"S3",100,"naive",5000,5000,0.554700196225229,0.297326051335082,-0.257374144890148,0.0013211167854079,0.0934170637701302,0.000904732819838082,0.273800023578901,0.00127431939868749,0.254897853748231,0.00158984592632402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078,0
"S3",100,"raw",5000,5000,0.554700196225229,0.569088649508381,0.0143884532831517,0.00253270645061804,0.179089390598693,0.00188234761922267,0.17964860926522,0.00189792604386723,0.120291237621191,0.00188133347111853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078,0
"S3",100,"oracle_sample",5000,5000,0.554700196225229,0.551976438526038,-0.00272375769919107,0.000968845983512287,0.0685077564866888,0.000735373526177837,0.0685550354992512,0.000742967073068949,0.0450604845360331,0.000728129418971556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078,0
"S3",250,"proposed",5000,5000,0.554700196225229,0.559756638047581,0.00505644182235231,0.00152357528463215,0.107733041541162,0.0011196214057317,0.10784087611831,0.00112363075175399,0.0731307405537527,0.00131044828705739,0.9662,0.0025556822963741,0.419507486933449,0.000762918720490902,0.005,0.000997496867163,0.0288,0.00236518751899294,0.163752026100456,0.000687252633081535,0.169659797530997,0.96517871931645,0,0
"S3",250,"naive",5000,5000,0.554700196225229,0.297114702354065,-0.257585493871164,0.000830805718956667,0.0587468357722824,0.000580549786905766,0.2641983859299,0.000821820952035778,0.257200084611848,0.00104525525330765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S3",250,"raw",5000,5000,0.554700196225229,0.559756638047581,0.00505644182235231,0.00152357528463215,0.107733041541162,0.00110696508742132,0.10784087611831,0.00111017684777922,0.0731307405537528,0.00130865565889223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S3",250,"oracle_sample",5000,5000,0.554700196225229,0.554214743089619,-0.000485453135609797,0.000627865839450054,0.0443968192750517,0.000449265122308417,0.0443950336296317,0.0004502140123419,0.0294956799123769,0.000440490671023223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S3",500,"proposed",5000,5000,0.554700196225229,0.557036546824565,0.00233635059933597,0.00106134485635492,0.0750484145106023,0.000769532061903864,0.0750772708732416,0.000768689415198737,0.0504251281766974,0.000899781555936805,0.9566,0.00288154264240528,0.294523262086778,0.000321970981951332,0.0156,0.00175252047063651,0.0278,0.00232495849425318,0.111295113273442,0.000206840583844456,0.11189781858381,0.994613788561776,0,0
"S3",500,"naive",5000,5000,0.554700196225229,0.297582337033289,-0.25711785919194,0.000585335435538753,0.0413894655738233,0.000422312722506156,0.260427223535408,0.000578303047187389,0.256295142505937,0.000765568877800904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S3",500,"raw",5000,5000,0.554700196225229,0.557036546824565,0.00233635059933597,0.00106134485635492,0.0750484145106023,0.000743633023627968,0.0750772708732416,0.000743465159519564,0.0504251281766973,0.000873810827872253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"S3",500,"oracle_sample",5000,5000,0.554700196225229,0.554247938247729,-0.000452257977500398,0.000435828937312553,0.0308177597011033,0.000313745692377651,0.0308179964210939,0.000314451611454785,0.0209791898981779,0.000354470978788843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
